.
abide 	abided / abode 	abided#[əˈbaɪd]#lưu trú, lưu lại
alight 	alighted / alit 	alighted / alit#[əˈlaɪt]#xuống, bước xuống
arise 	arose 	arisen#[əˈraɪz]#phát sinh
awake 	awakened / awoke 	awakened / awoken#[əˈweɪk]#đánh thức, thức
backbite 	backbit 	backbitten#[ˈbæk.baɪt]#nói vụng, nói xấu sau lưng
backslide 	backslid 	backslidden / backslid#[ˈbæk.slaɪd]#tái phạm, sa ngã
be 	was/were 	been#[bi]#thì, là, ở
bear 	bore 	born / borne#[beə(r)]#mang, chịu đựng
beat 	beat 	beaten / beat#[biːt]#đánh đập, đấm
become 	became 	become#[bɪˈkʌm]#trở nên
befall 	befell 	befallen#[bɪˈfɔːl]#xảy đến
beget 	begat / begot 	begotten#[bɪˈɡet]#sinh ra, gây ra
begin 	began 	begun#[bɪˈɡɪn]#bắt đầu
behold 	beheld 	beheld#[bɪˈhəʊld]#ngắm nhìn
bend 	bent 	bent#[bent∫]#bẻ cong
bereave 	bereaved / bereft 	bereaved / bereft#[bɪˈriːv]#làm mất, lấy mất
beseech 	besought / beseeched 	besought / beseeched#[bɪˈsiːtʃ]#cầu xin, cầu khẩn
beset 	beset 	beset#[bɪˈset]#bao quanh
bestrew 	bestrewed 	bestrewn / bestrewed#[bɪˈstruː]#rắc, rải
bet 	bet / betted 	bet / betted#[bet]#đánh cuộc
betake 	betook 	betaken#[bɪˈteɪk]#dấn thân vào, mắc vào, đam mê
bethink 	bethought 	bethought#[bɪˈθɪŋk]#nhớ ra, nghĩ ra
bid 	bid / bade 	bidden#[bɪd]#đặt giá
bind 	bound 	bound#[baɪnd]#buộc, trói
bite 	bit 	bitten#[baɪt]#cắn
bleed 	bled 	bled#[bliːd]#chảy máu, mất máu
blow 	blew 	blown#[bləʊ]#thổi
break 	broke 	broken#[breɪk]#đập vỡ
breed 	bred 	bred#[briːd]#nuôi, dạy dỗ
bring 	brought 	brought#[brɪŋ]#mang đến
broadcast 	broadcast / broadcasted 	broadcast / broadcasted#['brɔ:dkɑ:st; 'brɔ:dkæ:st]#phát thanh, phát sóng
browbeat 	browbeat 	browbeaten / browbeat#[ˈbraʊbiːt]#dọa nạt, bắt nạt
build 	built 	built#[bɪld]#xây dựng
burn 	burned / burnt 	burned / burnt#[bɜːn]#đốt, cháy
burst 	burst 	burst#[bɜːst]#nổ, vỡ
bust 	busted / bust 	busted / bust#[bʌst]#làm bể, làm vỡ
buy 	bought 	bought#[baɪ]#mua
cast 	cast 	cast#[kɑːst]#ném, tung
catch 	caught 	caught#[kætʃ]#bắt, chụp
chide 	chided / chid 	chided / chidden#[tʃaɪd]#mắng chửi
choose 	chose 	chosen#[tʃuːz]#chọn, lựa
clap 	clapped / clapt 	clapped / clapt#[klæp]#vỗ, vỗ tay
cling 	clung 	clung#[klɪŋ]#bám vào, níu lấy
clothe 	clothed / clad 	clothed / clad#[kləʊð]#mặc quần áo
come 	came 	come#[kʌm]#đến, đi đến
cost 	cost 	cost#[kɒst]#có giá là
creep 	crept 	crept#[kriːp]#bò, trườn, rón rén
cross breed 	cross bred 	cross bred#[ˈkrɒs briːd]#lai giống
cut 	cut 	cut#[kʌt]#cắt, chặt
dare 	dared / durst 	dared / durst#[deə(r)]#dám
daydream 	daydreamed / daydreamt 	daydreamed / daydreamt#[ˈdeɪdriːm]#nghĩ vẩn vơ
deal 	dealt 	dealt#[diːl]#giao thiệp
dig 	dug 	dug#[dɪɡ]#đào
dight 	dighted / dight 	dighted / dight#[]#trang điểm, chuẩn bị
disprove 	disproved 	disproved / disproven#[ˌdɪsˈpruːv]#bác bỏ, chứng minh là sai
dive 	dived / dove 	dived#[daɪv]#lặn, lao xuống
do 	did 	done#[]#làm, thực hiện
draw 	drew 	drawn#[drɔː]#vẽ
dream 	dreamed / dreamt 	dreamed / dreamt#[driːm]#mơ thấy
drink 	drank 	drunk#[drɪŋk]#uống
drive 	drove 	driven#[draɪv]#lái xe
dwell 	dwelt / dwelled 	dwelt / dwelled#[dwel]#trú ngụ, ở
eat 	ate 	eaten#[iːt]#ăn
enwind 	enwound 	enwound#[]#cuộn tròn, xung quanh
fall 	fell 	fallen#[fɔːl]#ngã, rơi
feed 	fed 	fed#[fiːd]#cho ăn, ăn, nuôi
feel 	felt 	felt#[fiːl]#cảm thấy
fight 	fought 	fought#[faɪt]#chiến đấu
find 	found 	found#[faɪnd]#tìm thấy, thấy
fit 	fitted / fit 	fitted / fit#[fɪt]#hợp, vừa
flee 	fled 	fled#[fliː]#chạy trốn, bỏ chạy, lẫn trốn
fling 	flung 	flung#[flɪŋ]#ném, vứt
fly 	flew 	flown#[flaɪ]#bay
forbear 	forbore 	forborne#[fɔːˈbeə(r)]#nhịn
forbid 	forbade 	forbidden#[fəˈbɪd]#cấm đoán, cấm
fordo 	fordid 	fordone#[]#tàn phá, phá hủy, giết
forecast 	forecast 	forecast#[ˈfɔːkɑːst]#tiên đoán
forego	forewent 	foregone#[fɔːˈɡəʊ]#đi trước, ở trước
foreknow 	foreknew 	foreknown#[]#biết trước
forerun 	foreran 	forerun#[]#báo hiệu, báo trước
foresee 	foresaw 	foreseen#[fɔːˈsiː]#nhìn thấy trước, đoán trước, biết trước
foreshow 	foreshowed 	foreshown / foreshowed#[]#nói trước, báo trước
foretell 	foretold 	foretold#[fɔːˈtel]#nói trước, đoán trước
forget 	forgot 	forgotten / forgot#[fəˈɡet]#quên
forgive 	forgave 	forgiven#[fəˈɡɪv]#tha thứ
forsake 	forsook 	forsaken#[fəˈseɪk]#ruồng bỏ
forswear 	forswore 	forsworn#[fɔːˈsweə(r)]#thề bỏ đi, thề chừa
freeze 	froze 	frozen#[friːz]#làm đông lại
frost bite 	frost bit 	frost bitten#[]#làm tê cóng, làm chết cóng
gainsay 	gainsaid 	gainsaid#[ˌɡeɪnˈseɪ]#chối cãi, không nhận
get 	got 	gotten / got#[ɡet]#có được
gild 	gilded / gilt 	gilded / gilt#[ɡɪld]#mạ vàng
give 	gave 	given#[ɡɪv]#cho
go 	went 	gone#[ɡəʊ]#đi
grind 	ground 	ground#[ɡraɪnd]#nghiền, xay
grow 	grew 	grown#[ɡrəʊ]#mọc, trồng
hamstring 	hamstrung 	hamstrung#[ˈhæmstrɪŋ]#làm què quặt
hand feed 	hand fed 	hand fed#[]#dùng tay cho ăn
hang 	hanged / hung 	hanged / hung#[hæŋ]#móc lên, treo lên
have 	had 	had#[həv]#có
hear 	heard 	heard#[hɪə(r)]#nghe
heave 	heaved / hove 	heaved / hove#[hiːv]#trục lên
hew 	hewed 	hewn / hewed#[hjuː]#chặt, đẽo, bổ
hide 	hid 	hidden#[haɪd]#giấu, trốn, ẩn, nấp
hit 	hit 	hit#[hɪt]#đụng
hold 	held 	held#[həʊld]#cầm, nắm, giữ vững
hurt 	hurt 	hurt#[hɜːt]#làm đau
inbreed 	inbred 	inbred#[]#bẩm sinh
inlay 	inlaid 	inlaid#[ˌɪnˈleɪ]#khảm, dát
input 	input / inputted 	input / inputted#[ˈɪnpʊt]#đưa vào (máy điện toán)
inset 	inset 	inset#[ˈɪnset]#cài, ghép
interbreed 	interbred 	interbred#[ˌɪntəˈbriːd]#giao phối, lai giống
intercut 	intercut 	intercut#[ˌɪntəˈkʌt]#xen cảnh
interlay 	interlaid 	interlaid#[]#đặt xen, dát xen
intersect 	intersected 	intersected#[ˌɪntəˈsekt]#cắt ngang nhau, chéo nhau
interweave 	interwove / interweaved 	interwoven / interweaved#[ˌɪntəˈwiːv]#trộn lẫn với nhau, xen lẫn
interwind 	interwound 	interwound#[]#cuộn vào với nhau, quấn vào với nhau
inweave 	inwove / inweaved 	inwoven / inweaved#[]#dệt lẫn, dệt xen
keep 	kept 	kept#[kiːp]#giữ
kneel 	knelt / kneeled 	knelt / kneeled#[niːl]#quỳ
knit 	knitted / knit 	knitted / knit#[nɪt]#đan
know 	knew 	known#[nəʊ]#biết, quen biết
lade 	laded 	laden / laded#[]#chất hàng
landslide 	landslid 	landslid#[ˈlændslaɪd]#lở (đất, đá...)
lay 	laid 	laid#[leɪ]#đặt, để
lead 	led 	led#[liːd]#dẫn dắt, lãnh đạo
lean 	leaned / leant 	leaned / leant#[liːn]#dựa, tựa, chống
leap 	leaped / leapt 	leaped / leapt#[liːp]#nhảy qua, vượt qua
learn 	learned / learnt 	learned / learnt#[lɜːn]#học, được biết
leave 	left 	left#[liːv]#ra đi, để lại
lend 	lent 	lent#[lend]#cho mượn (vay)
let 	let 	let#[let]#cho phép, để cho
lie 	lay 	lain#[laɪ]#nằm
lie 	lied 	lied#[laɪ]#nói dối
light 	lit / lighted 	lit / lighted#[laɪt]#thắp sáng
lip read 	lip read 	lip read#[ˈlɪp riːd]#hiểu bằng cách ra hiệu môi
lose 	lost 	lost#[luːz]#làm mất, mất
make 	made 	made#[meɪk]#chế tạo, sản xuất
mean 	meant 	meant#[miːn]#có nghĩa là
meet 	met 	met#[miːt]#gặp mặt
misbecome 	misbecame 	misbecome#[]#không thích hợp, không xứng
miscast 	miscast 	miscast#[ˌmɪsˈkɑːst]#chọn các vai đóng không hợp cho (một vở kịch)
misdeal 	misdealt 	misdealt#[]#chia bài sai, chia lộn bài
mishear 	misheard 	misheard#[ˌmɪsˈhɪə(r)]#nghe lầm
mishit 	mishit 	mishit#[ˈmɪshɪt]#ném (một quả bóng) một cách tồi
mislay 	mislaid 	mislaid#[ˌmɪsˈleɪ]#để lạc mất
mislead 	misled 	misled#[ˌmɪsˈliːd]#làm cho lạc đường
misread 	misread 	misread#[ˌmɪsˈriːd]#đọc sai
misspell 	misspelled / misspelt 	misspelled / misspelt#[ˌmɪsˈspel]#viết sai chính tả
mis spend 	mis spent 	mis spent#[]#tiêu phí, bỏ phí, uổng phí
mistake 	mistook 	mistaken#[mɪˈsteɪk]#phạm lỗi, nhầm lẫn
misunderstand 	misunderstood 	misunderstood#[ˌmɪsʌndəˈstænd]#hiểu lầm
mow 	mowed 	mowed / mown#[məʊ]#cắt, gặt (bằng liềm, hái)
offset 	offset 	offset#[ˈɒfset]#bù lại, đền bù, bù đắp
outbid 	outbid 	outbid#[ˌaʊtˈbɪd]#trả hơn giá
outdo 	outdid 	outdone#[ˌaʊtˈduː]#làm giỏi hơn
outdraw 	outdrew 	outdrawn#[]#có sức thu hút mạnh hơn
outfight 	outfought 	outfought#[ˌaʊtˈfaɪt]#đánh thắng
outfly 	outflew 	outflown#[]#bay qua
outgrow 	outgrew 	outgrown#[ˌaʊtˈɡrəʊ]#lớn hơn, mọc cao hơn
outlay 	outlaid 	outlaid#[ˈaʊtleɪ]#phủ lên
outlie	outlied 	outlied#[]#nằm ngoài trời
output 	output / outputted 	output / outputted#[ˈaʊtpʊt]#cung cấp
outride 	outrode 	outridden#[]#vượt qua được
outsell 	outsold 	outsold#[ˌaʊtˈsel]#bán chạy hơn, được giá hơn
outshine 	outshined / outshone 	outshined / outshone#[ˌaʊtˈʃaɪn]#sáng, chiếu sáng
outshoot 	outshot 	outshot#[]#bắn giỏi hơn, bắn vượt qua
outsing 	outsang 	outsung#[]#hát hay hơn, hát to hơn
outsit 	outsat 	outsat#[]#ngồi lâu hơn
outsleep 	outslept 	outslept#[]#ngủ lâu hơn, ngủ muộn hơn
outspeak 	outspoke 	outspoken#[]#nói nhiều hơn, nói to hơn
outspeed 	outsped 	outsped#[]#đi nhanh hơn, chạy nhanh hơn
outstand 	outstood 	outstood#[]#lộ hẳn ra, nổi bật
outswear 	outswore 	outsworn#[]#nguyền rủa nhiều hơn
outswim 	outswam 	outswum#[]#bơi giỏi hơn
outthink 	outthought 	outthought#[]#suy nghĩ nhanh hơn, suy nghĩ sâu sắc hơn
outthrow 	outthrew 	outthrown#[]#ném ra, đưa ra
outwear 	outwore 	outworn#[]#bền hơn, dùng được lâu hơn
outwind 	outwound 	outwound#[]#làm cho thở dốc ra
overbear 	overbore 	overborne / overborn#[]#đè xuống, nén xuống
overbid 	overbid 	overbid#[ˌəʊ.vəˈbɪd]#trả giá cao hơn, bỏ thầu cao hơn
overbuild 	overbuilt 	overbuilt#[]#xây trùm lên
overbuy 	overbought 	overbought#[ˌəʊvəˈbaɪ]#mua nhiều quá
overcast 	overcast 	overcast#[ˌəʊvəˈkɑːst]#che khuất, phủ mây (bầu trời)
overcome 	overcame 	overcome#[ˌəʊvəˈkʌm]#khắc phục
overdo 	 overdid 	overdone#[ˌəʊvəˈduː]#làm quá trớn, làm quá
overdraw 	overdrew 	overdrawn#[ˌəʊvəˈdrɔː]#phóng đại, cường điệu
overdrink 	overdrank 	overdrunk#[]#uống nhiều quá, uống quá mức
overeat 	overate 	overeaten#[ˌəʊvərˈiːt]#ăn quá nhiều, ăn quá mức
overfeed 	overfed 	overfed#[ˌəʊvəˈfiːd]#cho ăn quá mức
overhang 	overhung 	overhung#[ˌəʊvəˈhæŋ]#nhô ra ở trên, treo lơ lửng
overhear 	overheard 	overheard#[ˌəʊvəˈhɪə(r)]#nghe lỏm
overlay 	overlaid 	overlaid#[ˌəʊvəˈleɪ]#che, phủ lên
overleap 	overleaped / overleapt 	overleaped / overleapt#[]#nhảy qua, vượt qua
overlie 	overlay 	overlain#[ˌəʊvəˈlaɪ]#đặt lên trên, che, phủ
overpay 	overpaid 	overpaid#[ˌəʊvəˈpeɪ]#trả quá tiền
override 	overrode 	overridden#[ˌəʊvəˈraɪd]#cưỡi (ngựa) đến kiệt lực
